GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tech-challenge,com.postech.application.usecases,PedidoUseCases,11,227,1,11,3,56,2,20,1,15
tech-challenge,com.postech.application.usecases,ProdutoUseCases,5,100,4,10,1,24,5,9,1,6
tech-challenge,com.postech.domain.exceptions,PedidoException,0,9,0,0,0,4,0,2,0,2
tech-challenge,com.postech.domain.exceptions,ProdutoException,0,9,0,0,0,4,0,2,0,2
tech-challenge,com.postech.domain.exceptions,DominioException,3,9,0,0,2,4,1,2,1,2
tech-challenge,com.postech.application.utils,EstadoPedidoUtils,11,47,3,19,1,6,4,11,1,1
tech-challenge,com.postech.domain.enums,ErroProdutoEnum,6,41,0,0,2,8,2,2,2,2
tech-challenge,com.postech.domain.enums,ErroPedidoEnum,6,50,0,0,2,9,2,2,2,2
tech-challenge,com.postech.domain.enums,EstadoPedidoEnum,0,61,0,0,0,11,0,3,0,3
tech-challenge,com.postech.domain.enums,CategoriaProdutoEnum,8,32,1,1,2,7,1,2,0,2
tech-challenge,com.postech.infra.client,PaymentClientImpl,76,0,0,0,22,0,3,0,3,0
tech-challenge,com.postech.infra.gateways,RepositorioDePedidoGatewayImpl,0,66,0,0,0,12,0,5,0,5
tech-challenge,com.postech.infra.gateways,RepositorioDeProdutoGatewayImpl,0,79,0,0,0,14,0,6,0,6
tech-challenge,com.postech.infra.controller,PedidoController,0,96,0,0,0,19,0,8,0,8
tech-challenge,com.postech.infra.controller,ProdutoController,0,84,0,0,0,16,0,7,0,7
tech-challenge,com.postech.domain.utils,ValidacaoUtils,3,31,0,8,1,9,1,7,1,3
tech-challenge,com.postech,Application,8,0,0,0,3,0,2,0,2,0
